,year_x,month_x,day_x,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour_x,minute,time_hour,year_y,month_y,day_y,hour_y,temp,dewp,humid,wind_dir,wind_speed,wind_gust,precip,pressure,visib
151,2013,1,1,848.0,1835,853.0,1001.0,1950,851.0,MQ,3944,N942MQ,JFK,BWI,41.0,184,18,35,2013-01-01 18:00:00,2013.0,1.0,1.0,18.0,35.06,14.0,41.51,310.0,14.960139999999999,,0.0,1014.2,10.0
7072,2013,1,9,641.0,900,1301.0,1242.0,1530,1272.0,HA,51,N384HA,JFK,HNL,640.0,4983,9,0,2013-01-09 09:00:00,2013.0,1.0,9.0,9.0,44.96,37.04,73.59,210.0,4.60312,,0.0,1029.0,8.0
78047,2013,11,24,2301.0,1225,636.0,149.0,1535,614.0,AA,1697,N634AA,JFK,MIA,143.0,1089,12,25,2013-11-24 12:00:00,2013.0,11.0,24.0,12.0,30.02,-0.04,26.89,310.0,29.920279999999998,40.2773,0.0,1021.4,10.0
83242,2013,12,1,657.0,1930,687.0,1010.0,2249,681.0,DL,1091,N342NW,JFK,SAT,211.0,1587,19,30,2013-12-01 19:00:00,2013.0,12.0,1.0,19.0,44.96,35.06,68.05,230.0,6.90468,,0.0,1018.2,10.0
95530,2013,12,14,830.0,1845,825.0,1210.0,2154,856.0,DL,2391,N939DL,JFK,TPA,173.0,1005,18,45,2013-12-14 18:00:00,2013.0,12.0,14.0,18.0,28.04,24.08,86.07,50.0,20.71404,,0.01,,1.5
124588,2013,2,16,757.0,1930,747.0,1013.0,2149,744.0,9E,3798,N8940E,JFK,CLT,85.0,541,19,30,2013-02-16 19:00:00,2013.0,2.0,16.0,19.0,33.98,17.96,51.47,360.0,14.960139999999999,24.16638,0.0,1010.1,10.0
152312,2013,3,18,1020.0,2100,800.0,1336.0,32,784.0,DL,2363,N624AG,JFK,LAX,335.0,2475,21,0,2013-03-18 21:00:00,2013.0,3.0,18.0,21.0,33.98,30.92,88.42,80.0,18.41248,25.31716,0.07,,3.0
173992,2013,4,10,1100.0,1900,960.0,1342.0,2211,931.0,DL,2391,N959DL,JFK,TPA,139.0,1005,19,0,2013-04-10 19:00:00,2013.0,4.0,10.0,19.0,60.8,48.92,71.64,330.0,31.07106,,0.11,,10.0
182284,2013,4,19,606.0,1725,761.0,923.0,2020,783.0,AA,1901,N3DGAA,JFK,IAH,222.0,1417,17,25,2013-04-19 17:00:00,2013.0,4.0,19.0,17.0,57.02,53.96,89.48,180.0,25.31716,33.37262,0.0,1007.0,0.12
182296,2013,4,19,617.0,1700,797.0,858.0,1955,783.0,AA,257,N3GJAA,JFK,LAS,313.0,2248,17,0,2013-04-19 17:00:00,2013.0,4.0,19.0,17.0,57.02,53.96,89.48,180.0,25.31716,33.37262,0.0,1007.0,0.12
210174,2013,5,19,713.0,1700,853.0,1007.0,1955,852.0,AA,257,N3HEAA,JFK,LAS,323.0,2248,17,0,2013-05-19 17:00:00,2013.0,5.0,19.0,17.0,57.02,55.04,93.08,100.0,12.65858,,0.03,1023.5,1.25
235778,2013,6,15,1432.0,1935,1137.0,1607.0,2120,1127.0,MQ,3535,N504MQ,JFK,CMH,74.0,483,19,35,2013-06-15 19:00:00,2013.0,6.0,15.0,19.0,68.0,59.0,72.92,200.0,8.05546,,0.0,1013.9,10.0
246796,2013,6,27,615.0,1705,790.0,853.0,2004,769.0,DL,503,N372DA,JFK,SAN,312.0,2446,17,5,2013-06-27 17:00:00,2013.0,6.0,27.0,17.0,77.0,69.98,78.96,150.0,17.2617,,0.0,,10.0
247040,2013,6,27,959.0,1900,899.0,1236.0,2226,850.0,DL,2007,N3762Y,JFK,PDX,313.0,2454,19,0,2013-06-27 19:00:00,2013.0,6.0,27.0,19.0,75.02,69.08,81.79,130.0,12.65858,,0.0,1005.0,10.0
256501,2013,7,7,2059.0,1030,629.0,106.0,1350,676.0,VX,23,N641VA,JFK,SFO,334.0,2586,10,30,2013-07-07 10:00:00,2013.0,7.0,7.0,10.0,86.0,73.04,65.35,210.0,9.20624,,0.0,1017.3,10.0
259516,2013,7,10,2334.0,1300,634.0,,1555,,VX,411,N640VA,JFK,LAX,,2475,13,0,2013-07-10 13:00:00,2013.0,7.0,10.0,13.0,84.2,73.4,76.74,230.0,10.35702,,0.0,,9.0
270376,2013,7,22,845.0,1600,1005.0,1044.0,1815,989.0,MQ,3075,N665MQ,JFK,CVG,96.0,589,16,0,2013-07-22 16:00:00,2013.0,7.0,22.0,16.0,80.96,73.04,76.9,100.0,10.35702,,0.0,1011.4,10.0
327043,2013,9,20,1139.0,1845,1014.0,1457.0,2210,1007.0,AA,177,N338AA,JFK,SFO,354.0,2586,18,45,2013-09-20 18:00:00,2013.0,9.0,20.0,18.0,66.92,59.0,75.69,170.0,10.35702,,0.0,1017.0,10.0
